customer_id,cutoff_date,amount,has_full_months
1,2021-01-01,41217.08,True
1,2021-02-01,48969.98,True
1,2021-03-01,33564.35,True
1,2021-04-01,6543.62,True
1,2021-05-01,30311.81,True
1,2021-06-01,40808.1,True
1,2021-07-01,48102.71,True
1,2021-08-01,15100.6,True
1,2021-09-01,44219.72,True
1,2021-10-01,45992.39,True
1,2021-11-01,738.01,True
1,2021-12-01,46892.18,True
1,2022-01-01,30858.53,True
1,2022-02-01,27262.94,True
1,2022-03-01,16794.78,True
1,2022-04-01,11206.15,True
1,2022-05-01,48435.95,True
1,2022-06-01,46674.3,True
1,2022-07-01,28267.97,True
1,2022-08-01,15815.85,True
1,2022-09-01,17535.42,True
1,2022-10-01,5190.7,True
1,2022-11-01,29788.01,True
1,2022-12-01,25250.62,True
1,2023-01-01,43802.84,True
1,2023-02-01,10602.04,True
1,2023-03-01,33071.8,True
1,2023-04-01,30217.57,True
1,2023-05-01,7309.82,True
1,2023-06-01,35007.94,True
1,2023-07-01,29370.23,True
1,2023-08-01,38901.08,True
1,2023-09-01,8341.58,True
1,2023-10-01,33622.52,True
1,2023-11-01,21242.76,True
1,2023-12-01,18206.38,True
1,2024-01-01,3500.15,True
1,2024-02-01,19863.17,True
1,2024-03-01,5235.0,True
1,2024-04-01,31138.45,True
1,2024-05-01,5626.83,True
1,2024-06-01,11995.0,True
1,2024-07-01,19211.52,True
1,2024-08-01,42982.31,True
1,2024-09-01,1414.37,True
1,2024-10-01,17079.07,True
1,2024-11-01,15843.72,True
1,2024-12-01,29240.81,True
2,2021-01-01,9259.67,True
2,2021-02-01,29928.67,True
2,2021-03-01,34067.11,True
2,2021-04-01,19858.1,True
2,2021-05-01,16422.79,True
2,2021-06-01,44865.31,True
2,2021-07-01,11267.66,True
2,2021-08-01,34748.52,True
2,2021-09-01,8953.52,True
2,2021-10-01,47248.05,True
2,2021-11-01,5714.02,True
2,2021-12-01,10578.46,True
2,2022-01-01,48999.52,True
2,2022-02-01,10628.72,True
2,2022-03-01,37163.71,True
2,2022-04-01,7663.5,True
2,2022-05-01,8486.52,True
2,2022-06-01,12884.33,True
2,2022-07-01,47802.93,True
2,2022-08-01,35444.8,True
2,2022-09-01,12470.21,True
2,2022-10-01,36868.86,True
2,2022-11-01,43494.73,True
2,2022-12-01,19583.22,True
2,2023-01-01,6956.19,True
2,2023-02-01,31462.25,True
2,2023-03-01,41384.52,True
2,2023-04-01,1378.12,True
2,2023-05-01,34716.99,True
2,2023-06-01,22422.96,True
2,2023-07-01,12924.77,True
2,2023-08-01,472.5,True
2,2023-09-01,13199.26,True
2,2023-10-01,49634.73,True
2,2023-11-01,47046.88,True
2,2023-12-01,27773.52,True
2,2024-01-01,43088.5,True
2,2024-02-01,44393.56,True
2,2024-03-01,15484.5,True
2,2024-04-01,6115.51,True
2,2024-05-01,20286.0,True
2,2024-06-01,32484.89,True
2,2024-07-01,1813.29,True
2,2024-08-01,7394.23,True
2,2024-09-01,41666.76,True
2,2024-10-01,42006.45,True
2,2024-11-01,48126.57,True
2,2024-12-01,48945.25,True
3,2021-01-01,35863.52,True
3,2021-02-01,17517.4,True
3,2021-03-01,1690.45,True
3,2021-04-01,43080.43,True
3,2021-05-01,22973.0,True
3,2021-06-01,6907.33,True
3,2021-07-01,24051.81,True
3,2021-08-01,31190.34,True
3,2021-09-01,26960.91,True
3,2021-10-01,32517.04,True
3,2021-11-01,22204.99,True
3,2021-12-01,2230.2,True
3,2022-01-01,4202.65,True
3,2022-02-01,6227.67,True
3,2022-03-01,28916.72,True
3,2022-04-01,21028.7,True
3,2022-05-01,1015.97,True
3,2022-06-01,14407.42,True
3,2022-07-01,28480.86,True
3,2022-08-01,40823.1,True
3,2022-09-01,12231.9,True
3,2022-10-01,11289.17,True
3,2022-11-01,33402.33,True
3,2022-12-01,15918.66,True
3,2023-01-01,15064.97,True
3,2023-02-01,27524.5,True
3,2023-03-01,21979.54,True
3,2023-04-01,48526.91,True
